whiskey,Match_1,Reco_1,Match_2,Reco_2,Match_3,Reco_3,Match_4,Reco_4,Match_5,Reco_5,Match_6,Reco_6,Match_7,Reco_7,Match_8,Reco_8,Match_9,Reco_9,Match_10,Reco_10,Match_11,Reco_11,Match_12,Reco_12,Match_13,Reco_13,Match_14,Reco_14,Match_15,Reco_15,Match_16,Reco_16,Match_17,Reco_17,Match_18,Reco_18,Match_19,Reco_19,Match_20,Reco_20
Highland Park 12,0.9414421345952181,Springbank 10,0.9406005975066735,Highland Park 18,0.9286064320936789,Johnnie Walker Green Label,0.9227757669805269,Jura Superstition,0.9180897135143562,Johnnie Walker Black Label,0.9180160640396118,Oban 14,0.9173479759829133,Bruichladdich The Laddie Ten,0.9170920824471432,Caol Ila 12,0.9163731594376998,Lagavulin 16,0.9146623203736599,Bowmore 12,0.9125166170471459,Bunnahabhain 12,0.910824582267009,Lagavulin 12,0.9070888809608466,Benromach 10,0.8990940471053166,Ardbeg Uigeadail,0.8959472959100291,Laphroaig 18,0.8958056368994893,Kilchoman Machir Bay,0.8885536264328744,Laphroaig Quarter Cask,0.8867475138981987,Ardbeg 10,0.8833600671179346,Compass Box Peat Monster,0.8817700388301055,Talisker 10
Lagavulin 16,0.971340933070462,Ardbeg Uigeadail,0.9679564072711764,Laphroaig 10,0.9631454300441483,Laphroaig Quarter Cask,0.9604570161621199,Laphroaig 18,0.9564104853696284,Lagavulin 12,0.9558625886483622,Ardbeg 10,0.9510661274407841,Caol Ila 12,0.9448373540314163,Finlaggan Old Reserve,0.9440890463960524,Bowmore 12,0.9347214485444585,Laphroaig 10 Cask Strength,0.9339173476080528,Ardbeg Ardbog,0.9243670083712383,Ardbeg Corryvreckan,0.9233648553625946,Kilchoman Machir Bay,0.9216529080074527,Talisker 10,0.9211590429384882,Laphroaig Triplewood,0.9183654547222565,Highland Park 12,0.9132118664895545,Bruichladdich Port Charlotte Scottish Barley,0.9099054873467222,Bruichladdich Octomore 6.1,0.9096329464108226,Lagavulin 8,0.9061884760879634,Ardbeg Galileo
Ardbeg 10,0.9738498566783259,Caol Ila 12,0.9573648879546716,Lagavulin 16,0.9543412588148136,Kilchoman Machir Bay,0.9531425983176729,Laphroaig 10,0.9485602495548465,Laphroaig 18,0.9446251061539627,Ardbeg Corryvreckan,0.9441992872067995,Laphroaig Quarter Cask,0.9384814198013951,Laphroaig 10 Cask Strength,0.9362781563340962,Bowmore 12,0.9333888543622928,Ardbeg Uigeadail,0.9321675982911031,Lagavulin 12,0.9299540579273002,Ledaig 10,0.928497067905853,Longrow Peated,0.9274731458409065,Bruichladdich Port Charlotte Scottish Barley,0.9250230202645352,Compass Box Peat Monster,0.9194238246986168,Bruichladdich Port Charlotte 10,0.9170349740688016,Talisker 10,0.9141363839695197,Finlaggan Old Reserve,0.909806415830893,Bruichladdich Octomore 6.1,0.902773457941695,Lagavulin 8
Ardbeg Uigeadail,0.9770632103592323,Lagavulin 16,0.941309425295751,Laphroaig Quarter Cask,0.9376183783267728,Ardbeg 10,0.9363082024669748,Laphroaig 10,0.931461346105918,Lagavulin 12,0.930343504417165,Ardbeg Ardbog,0.9297658135433801,Ardbeg Corryvreckan,0.9284818899422698,Laphroaig 18,0.9203575621032588,Laphroaig 10 Cask Strength,0.9201156563920064,Laphroaig Triplewood,0.917314557981342,Caol Ila 12,0.9107645372512765,Finlaggan Old Reserve,0.9071528886501836,Bowmore 12,0.9042898100727166,Highland Park 12,0.9037495736306415,Bowmore 15 Darkest,0.9032297565049758,Ardbeg Day,0.9022399662396446,Kilchoman Machir Bay,0.9020964473275617,Laphroaig Cairdeas 2013 Portwood,0.9018696647489745,Highland Park 18,0.8994738088303443,Bruichladdich Port Charlotte Scottish Barley
Laphroaig Quarter Cask,0.9697837896321385,Laphroaig 10,0.9624277955404911,Lagavulin 16,0.961942649218597,Laphroaig 18,0.9449710184245262,Lagavulin 12,0.9423572173855568,Ardbeg 10,0.9397618476167509,Laphroaig 10 Cask Strength,0.935110821817959,Ardbeg Uigeadail,0.9326132809729044,Ardbeg Corryvreckan,0.9284365109493152,Kilchoman Machir Bay,0.9202792419159299,Bowmore 12,0.911822080587233,Finlaggan Old Reserve,0.9080643216905253,Caol Ila 12,0.9073946231150687,Compass Box Peat Monster,0.9038669751079043,Laphroaig Triplewood,0.9001765612376014,Laphroaig Cairdeas 2012 Origin,0.8995441631741571,Bruichladdich Port Charlotte Scottish Barley,0.8957019888849647,Talisker 10,0.8901072971626158,Bruichladdich Port Charlotte 10,0.888740360039488,Highland Park 12,0.8875706452130784,Ardbeg Galileo
Laphroaig 10,0.9666135952286423,Laphroaig Quarter Cask,0.9639159360115479,Lagavulin 16,0.9504657930393772,Laphroaig 10 Cask Strength,0.9501109390463317,Laphroaig 18,0.9484337084366884,Ardbeg 10,0.9306146621499232,Finlaggan Old Reserve,0.9301878552649661,Kilchoman Machir Bay,0.928789851928871,Caol Ila 12,0.9283445217065642,Ardbeg Uigeadail,0.9263346280646596,Lagavulin 12,0.9206616050223463,Bowmore 12,0.9059743552485942,Ardbeg Ardbog,0.9054587136479118,Ardbeg Corryvreckan,0.9052199737564384,Talisker 10,0.891369883747243,Ledaig 10,0.8886164417426651,Laphroaig Triplewood,0.8748535988857737,Bruichladdich Port Charlotte Scottish Barley,0.8731346694213267,Bruichladdich Octomore 6.1,0.8717559826440788,Longrow Peated,0.8709710085799747,Laphroaig Cairdeas 2013 Portwood
Talisker 10,0.9520286156192953,Talisker 57° North,0.9324402123653965,Caol Ila 12,0.9225070456853313,Lagavulin 16,0.9186014175756576,Talisker 18,0.9161439250323002,Ardbeg 10,0.9157488507615388,Ledaig 10,0.9113390357351269,Laphroaig 18,0.9099099742490693,Laphroaig 10,0.9064968640774004,Talisker Storm,0.9011859812355456,Ardbeg Corryvreckan,0.9002606059622548,Bowmore 12,0.8972205636285177,Laphroaig Quarter Cask,0.8914803743898929,Kilchoman Machir Bay,0.887558950280479,Springbank 10,0.8853612523036457,Laphroaig 10 Cask Strength,0.8850927901910363,Compass Box Peat Monster,0.8835561007068986,Lagavulin 12,0.8832454242616983,Highland Park 12,0.8830462710587553,Talisker 25,0.8780351143997753,Ardbeg Uigeadail
Glenlivet 12,0.9522874469830621,Glenfiddich 12,0.9281534327533186,Glenmorangie 10 Original,0.9162800673129693,Glenlivet 16 Nadurra,0.9028568751717077,Glenkinchie 12,0.9022983600241081,Chivas Regal 12,0.8796542516018782,Dalwhinnie 15,0.8780838239929198,Speyburn 10,0.8771751621404641,Balvenie 15 Single Barrel,0.8765603105486229,AnCnoc 12,0.8735818354418515,Monkey Shoulder,0.8724159954037858,Cardhu 12,0.8722914831317745,Arran 10,0.8669744671218967,Compass Box Great King St. Artist's Blend,0.8655669083607156,Macallan 10 Fine Oak,0.8642105595655345,Cragganmore 12,0.8604656317842592,Glenlivet 15 French Oak Reserve,0.850296450839483,Singleton of Glendullan 12,0.8499586658108195,BenRiach 12,0.8444953686603245,Glenlivet 18,0.8432370835347363,Aberfeldy 12
Glenfiddich 12,0.9536171753465471,Glenlivet 12,0.9015167843778948,Glenlivet 16 Nadurra,0.881332945695159,Chivas Regal 12,0.8794292145146225,Monkey Shoulder,0.874235065646647,BenRiach 12,0.8658242569650241,AnCnoc 12,0.8654977437525031,Glenfiddich 18,0.8623138135524417,Glenfiddich 15,0.8584182372343583,Glenmorangie 10 Original,0.8562906460144156,Glenlivet 15 French Oak Reserve,0.855977724586634,Cardhu 12,0.8511536644137992,Glenkinchie 12,0.8473393407661894,Arran 10,0.8467362423220612,Tomatin 12,0.8456750087069366,Macallan 10 Fine Oak,0.8400857229576931,Glenlivet 18,0.8391255552313557,Speyburn 10,0.8378816366595133,Cragganmore 12,0.8353887575515394,Singleton of Glendullan 12,0.8346796279409898,Dalwhinnie 15
Balvenie 12 Doublewood,0.9226695373883261,Glenfarclas 12,0.9221316250585468,Glenfiddich 15,0.9184596601115506,Aberlour 10,0.9074461646632719,Macallan 15 Fine Oak,0.90045051623745,Aberlour 12 Double Cask Matured,0.8970338686930164,Macallan 12 Sherry,0.8938819312216012,Aberlour 16,0.8889312119180695,GlenDronach 12 Original,0.88808761996326,Macallan 18 Sherry,0.885347939834791,Glenfiddich 18,0.8827536507570983,Balvenie 17 Doublewood,0.8791451734333193,Glenlivet 18,0.875125936941304,Macallan 10 Fine Oak,0.8702080999169202,Glenmorangie 18,0.8634457417512228,Glenlivet 16 Nadurra,0.8565006822284054,Glenfarclas 17,0.8553456033536102,Glenfarclas 15,0.8543276714055001,Balvenie Tun 1401 Batch #3,0.8542006320870986,Glenmorangie Lasanta,0.8513093089555406,Tomatin 12
Glenmorangie 12 Quinta Ruban,0.9067880817630012,Balvenie 21 Portwood,0.8698641951960818,Arran Port Cask Finish,0.8663840877652157,Aberlour 12 Non Chill Filtered,0.8602140653078278,Tomatin 14 Portwood,0.8560349854474868,Glenfarclas 12,0.8521252566619182,Glenlivet 18,0.8503789892847136,Dalmore 12,0.8471370355194916,GlenDronach 15 Revival,0.8470197139471396,Auchentoshan Three Wood,0.8450794609141219,Glenfiddich 15,0.8419382359367616,Dalmore 15,0.8404735472719745,Arran Amarone Cask Finish,0.8371829133151403,Macallan Sherry Cask Strength,0.8299488165062503,Amrut Portonova,0.8295347454913522,Glenfarclas 17,0.8278342286330714,Glenfarclas 105 Cask Strength,0.8256491720356304,Aberlour 12 Double Cask Matured,0.8249150150462319,GlenDronach 12 Original,0.8214245284427169,Aberlour 10,0.8162882891985968,Macallan 12 Sherry
Glenmorangie 10 Original,0.9304191629087234,Glenlivet 12,0.9141573240888418,AnCnoc 12,0.909289541752072,Cragganmore 12,0.9060266949502059,Dalwhinnie 15,0.9026929285252286,Chivas Regal 12,0.8965536467260197,Cardhu 12,0.8960317333271202,Glenkinchie 12,0.8870692671253134,Compass Box Great King St. Artist's Blend,0.8806365357020501,Glenmorangie 18,0.8799154686263574,Monkey Shoulder,0.8776892156072281,Arran 10,0.8711031615775718,Aberfeldy 12,0.868582790158472,Glenlivet 16 Nadurra,0.8643806678008995,Speyburn 10,0.8619349856520209,Balvenie 15 Single Barrel,0.8617851016549122,Auchentoshan 12,0.859943874885502,Macallan 10 Fine Oak,0.8598930387316186,Glenfiddich 12,0.857660026887576,Arran 14,0.8522612734289758,Auchentoshan Valinch
Bunnahabhain 12,0.9332687149600137,Highland Park 18,0.9278508158570153,Springbank 15,0.9256935414267455,Bunnahabhain 18,0.9166271166289891,Highland Park 12,0.9083935320195344,Clynelish 14,0.9049534055438796,Springbank 10,0.8997588503948559,Glenfarclas 12,0.8987839963150506,Benromach 10,0.8979233476015722,Oban 14,0.8973040739443362,Bruichladdich The Laddie Ten,0.8879058497910595,Springbank 12 Cask Strength,0.8835489834073801,Talisker 18,0.8817919624092913,Highland Park Dark Origins,0.8808800007813752,Johnnie Walker Green Label,0.8806859131355904,Old Pulteney 12,0.8760872057512341,Jura Superstition,0.8722579995853745,GlenDronach 12 Original,0.8670447234277133,Amrut Fusion,0.8664727496783277,Lagavulin 1997 Distillers Edition,0.8664019351258776,Laphroaig PX Cask
Oban 14,0.9415114739787627,Clynelish 14,0.9331681806009147,Johnnie Walker Green Label,0.9200073534646188,Highland Park 12,0.9192058818839781,Bruichladdich The Laddie Ten,0.9167791687389176,Springbank 10,0.9111330734190298,Cragganmore 12,0.903131175449843,Arran 14,0.8965697863633383,Highland Park 18,0.8958611342648939,Talisker 18,0.8954307432404569,Tobermory 10,0.8944342946462329,Old Pulteney 12,0.8934470793806621,Bunnahabhain 12,0.8907797679228062,Highland Park 15,0.8780901743979534,Dalwhinnie 15,0.8740175825194092,Benromach 10,0.8631232067902609,Springbank 15,0.8568392674935594,Talisker 25,0.8531830697458976,Black Bottle,0.8467628270841854,Laphroaig 18,0.8460004948004197,Talisker 10
Caol Ila 12,0.973912460781857,Ardbeg 10,0.9522967242657548,Laphroaig 18,0.9521413222728617,Lagavulin 16,0.947258559194234,Ledaig 10,0.9454605098491785,Kilchoman Machir Bay,0.9374070141645128,Lagavulin 12,0.936636886456518,Bowmore 12,0.9350415424356916,Laphroaig 10,0.9324402123653965,Talisker 10,0.9311582473561726,Longrow Peated,0.9306829962326935,Finlaggan Old Reserve,0.9269568127487005,Ardbeg Corryvreckan,0.9258136192175537,Lagavulin 8,0.9247066880183843,Bruichladdich Port Charlotte Scottish Barley,0.9205111341288192,Highland Park 12,0.9187830874698188,Compass Box Peat Monster,0.9185549997837615,Springbank 10,0.9132660713868725,Ardbeg Uigeadail,0.9122641408946772,Laphroaig 15,0.9115471460099646,Laphroaig Quarter Cask
Johnnie Walker Black Label,0.9182996386306316,Highland Park 12,0.9130445763507424,Black Bottle,0.9083895454078561,Johnnie Walker Blue Label,0.9017239325881584,Johnnie Walker Double Black,0.9003678692192782,Johnnie Walker Green Label,0.8937742516258202,Bowmore 12,0.8795752951175891,Johnnie Walker Gold Label,0.8690948855109281,Highland Park 18,0.8685508703013809,Springbank 10,0.8628100322359822,Bruichladdich The Laddie Ten,0.8617242544696313,Compass Box Peat Monster,0.8604520494665191,Laphroaig Quarter Cask,0.8595846660125406,Laphroaig 18,0.8581589480574495,Lagavulin 16,0.8536820185804486,Longrow Peated,0.8522973569854313,Kilchoman Machir Bay,0.8493534580778676,Caol Ila 12,0.8460038452688123,Benromach 10,0.8439712001215449,Oban 14,0.8434785645401361,McClelland Islay
Balvenie 14 Caribbean Cask,0.8614702383544767,Balvenie 12 Doublewood,0.8600289639027394,Auchentoshan Valinch,0.8490200955955125,Balvenie 12 Single Barrel First Fill,0.8476599345444086,BenRiach 12,0.8430408748445418,Glenmorangie Nectar D'Or 12,0.8365514134330644,Balvenie 15 Single Barrel,0.8315092968436333,Glenmorangie Astar,0.8314099121089624,Glenfiddich 21 Gran Reserva,0.8304292627917425,Glenfarclas 12,0.8266023295002882,Glenlivet 15 French Oak Reserve,0.8220172580050428,Glenfiddich 15,0.8168545615318283,Glenfiddich 18,0.8167145866644535,Chivas Regal 12,0.8142017135445735,Balvenie 21 Portwood,0.8136742502516503,Glenlivet 18,0.8106926265192715,Glenmorangie 10 Original,0.8079917135570927,Amrut Kadhambam,0.8059249727130563,Teeling Small Batch,0.8042714221304459,Glenlivet 16 Nadurra,0.8001138152344283,Arran 14
Glenlivet 16 Nadurra,0.9303301193281402,Glenlivet 15 French Oak Reserve,0.9148547765390194,Glenlivet 12,0.9024335926636895,Balvenie 15 Single Barrel,0.9017002170816606,Glenfiddich 18,0.8986919301179449,Glenfiddich 12,0.898173737448068,Glenlivet 18,0.8755188475418719,Macallan 10 Fine Oak,0.8754202221053904,Glenlivet 21 Archive,0.8745655748517065,AnCnoc 16,0.8715865154437223,Cardhu 12,0.8666156290781141,Glenmorangie 10 Original,0.8633813809985411,Balvenie 12 Single Barrel First Fill,0.8605762069630143,BenRiach 12,0.8585294364203242,Balvenie 12 Doublewood,0.8546479676886432,Glenmorangie Astar,0.853876806040592,Glenfiddich 15,0.8521362675828041,Auchentoshan Valinch,0.8452340695678433,Glenkinchie 12,0.8438665695220893,Monkey Shoulder,0.8428958360316046,Clynelish 14
Wild Turkey 101,0.9608485285939097,Buffalo Trace,0.9598022279990289,Elmer T. Lee,0.9539640383184202,Wild Turkey Rare Breed,0.9510381826657075,Old Grand Dad 114,0.9483714329215281,Four Roses Small Batch,0.9480917168499928,Old Grand Dad 100 Bottled in Bond,0.9435445244263746,Blanton's Original Single Barrel,0.9412680666908206,Elijah Craig 12,0.9394581780569968,Four Roses Single Barrel,0.936763688084009,Woodford Reserve Distiller's Select,0.9359339910838275,Bulleit Bourbon,0.9345428544026544,Colonel E.H. Taylor Small Batch,0.9340877313136947,Eagle Rare 10,0.9288382838558991,Henry McKenna 10 Single Barrel,0.9231670100962222,Russell's Reserve Single Barrel Bourbon,0.9174603640423432,Booker's Bourbon,0.9164394181569151,Evan Williams Black Label,0.9098875750226251,Colonel E.H. Taylor Barrel Proof,0.9091494561127452,Old Ezra 101,0.9090243728789955,Wild Turkey Forgiven
Macallan 12 Sherry,0.9339431298899004,Macallan 18 Sherry,0.929828463656566,Glenfarclas 12,0.9295983715321684,Macallan Sherry Cask Strength,0.9260933691966464,Glenmorangie Lasanta,0.9072381271285864,Aberlour 12 Non Chill Filtered,0.8938754786110593,Aberlour 16,0.8913461152641541,Aberlour A'bunadh batch #45,0.8903426238838347,Balvenie 12 Doublewood,0.8897923784739691,GlenDronach 15 Revival,0.8893855701848079,Glenfarclas 105 Cask Strength,0.8871645153207832,Bruichladdich Black Art 2.2,0.8838817829737023,GlenDronach 12 Original,0.8794945868795228,Aberlour 12 Double Cask Matured,0.8724057248935526,Balvenie Tun 1401 Batch #3,0.8608833010456551,Glenlivet 18,0.8601211477490007,Bunnahabhain 18,0.8553112228377057,Glenfiddich 15,0.85055980720124,Aberlour A'bunadh batch #46,0.8482679214750618,Auchentoshan Three Wood,0.8478346694411891,Dalmore 12
Springbank 10,0.9432736692325313,Highland Park 12,0.9294274548880885,Springbank 15,0.9256146537733454,Johnnie Walker Green Label,0.9249281260170051,Bruichladdich The Laddie Ten,0.9223760132158145,Benromach 10,0.9223483014898224,Kilchoman Machir Bay,0.9203463000100637,Bruichladdich Port Charlotte Scottish Barley,0.9202997136235672,Oban 14,0.9194251254227217,Longrow Peated,0.9158682672092379,Laphroaig 18,0.9158480268619347,Caol Ila 12,0.913556769652202,Amrut Fusion,0.9111004195504017,Talisker 18,0.9068590133020833,Ardbeg Corryvreckan,0.9067133774824134,Lagavulin 12,0.9054500399008192,Highland Park 18,0.9033885273964544,Ledaig 10,0.9003664125825709,Lagavulin 16,0.8993394704466182,Bunnahabhain 12,0.8992817970162963,BenRiach 10 Curiositas
Johnnie Walker Green Label,0.9324882685454075,Johnnie Walker Blue Label,0.9311106457877147,Oban 14,0.9299652537298854,Highland Park 12,0.9257569631284891,Bruichladdich The Laddie Ten,0.9210054897752908,Highland Park 18,0.9170090990428772,Springbank 10,0.9144267040782188,Johnnie Walker Gold Label,0.9142998151193933,Talisker 18,0.9113395746201642,Clynelish 14,0.900280718620088,Johnnie Walker Black Label,0.8965841074438802,Benromach 10,0.896155101853624,Springbank 15,0.8909773011535242,Ardmore Traditional Cask Peated,0.8844104396240315,Talisker 25,0.8822489587852763,Black Bottle,0.8765961576403067,Bunnahabhain 12,0.8738814429826689,Laphroaig 18,0.8733190208360623,Lagavulin 12,0.872433662427869,Ardbeg Galileo,0.8710345440761378,Talisker 10
Old Pulteney 12,0.9314570215104027,Clynelish 14,0.9222229472959829,Old Pulteney 17,0.9142001437625558,Bruichladdich The Laddie Ten,0.9007476166626239,Oban 14,0.8908883482715463,Arran 14,0.8872750547949748,Old Pulteney 21,0.8806859131355904,Bunnahabhain 12,0.8804450386956886,Tobermory 10,0.8721205628540443,Arran 10,0.8655411104207497,Cragganmore 12,0.8527493125248379,Scapa 16,0.8514927977862338,Johnnie Walker Green Label,0.8504431132935116,Oban 18,0.8443982068281694,Glenmorangie 10 Original,0.839882549845323,Glenkinchie 12,0.8390265856224555,Springbank 10,0.8371092570055534,Bruichladdich Scottish Barley The Classic Laddie,0.8308574595162089,Glenlivet 12,0.8303854725060423,Talisker 18,0.8296709460556918,AnCnoc 12
Dalwhinnie 15,0.9463897688608199,Cragganmore 12,0.9116529194375989,AnCnoc 12,0.9077883132489548,Glenmorangie 10 Original,0.8973624489267825,Speyburn 10,0.8932710211484054,Glenkinchie 12,0.8924075269262248,Glenlivet 12,0.8885190082981447,Cardhu 12,0.8781298379562215,Aberfeldy 12,0.8759114870092144,Oban 14,0.8685898793752693,Chivas Regal 12,0.8633621137319081,Clynelish 14,0.8589697211562008,Monkey Shoulder,0.8558986508110171,Balvenie 15 Single Barrel,0.8514760130833828,Johnnie Walker Gold Label,0.8491405717549451,Arran 14,0.8453525312908985,Highland Park 15,0.84153989377257,Highland Park 12,0.8415141846844034,Tobermory 10,0.8387349121724451,Macallan 10 Fine Oak,0.8333670403507805,Glenfiddich 12
Old Weller Antique 107,0.9291116729633269,Buffalo Trace,0.9274410736039851,Stagg Jr.,0.925434713863962,Eagle Rare 10,0.921790331288727,Maker's Mark Cask Strength,0.9192293556687331,W.L. Weller Special Reserve,0.9191194640145811,Elijah Craig 12,0.9187952280027799,Old Ezra 101,0.9187197900025219,Wild Turkey 101,0.9167195327903608,Wild Turkey Rare Breed,0.9166999663586757,W.L. Weller 12,0.9136560829725392,Maker's Mark 46,0.9093111586582658,Old Rip Van Winkle 10,0.9092195378670237,Colonel E.H. Taylor Small Batch,0.9092109962603286,Elmer T. Lee,0.9064200276302778,Henry McKenna 10 Single Barrel,0.9056036823009929,Booker's Bourbon,0.901254166723372,Maker's Mark,0.9005259452863893,Blanton's Original Single Barrel,0.8989858321404686,Russell's Reserve Single Barrel Bourbon,0.8965590410663664,Four Roses Small Batch
Ardbeg Corryvreckan,0.9513509583485127,Laphroaig 18,0.9481338177898189,Ardbeg 10,0.9394597139832082,Kilchoman Machir Bay,0.9371515168974667,Laphroaig Quarter Cask,0.9297658135433801,Ardbeg Uigeadail,0.9292956380903519,Caol Ila 12,0.928559462606089,Lagavulin 16,0.9275218662591415,Lagavulin 12,0.9266819943452183,Ardbeg Galileo,0.925931875603435,Ledaig 10,0.9253249870926324,Bruichladdich Port Charlotte Scottish Barley,0.9239406771361662,Bruichladdich Octomore 6.1,0.9222631277563967,Laphroaig 10 Cask Strength,0.9187677504503411,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,0.9169135006997311,Longrow Peated,0.9148733988263157,Ardbeg Ardbog,0.914381601791194,Laphroaig Cairdeas 2012 Origin,0.9140584718833042,Bruichladdich Port Charlotte 10,0.912191203194805,Laphroaig 10,0.9079772300846769,Lagavulin 8
Highland Park 18,0.9494759317480452,Highland Park 12,0.9441276017726385,Springbank 15,0.9380805677496513,Bunnahabhain 12,0.9320366185175158,Johnnie Walker Green Label,0.9263374646283556,Talisker 18,0.92525353945602,Benromach 10,0.916228798160565,Springbank 10,0.9092690534706042,Oban 14,0.9046948616638556,Ardbeg Uigeadail,0.9011207031162041,Bruichladdich The Laddie Ten,0.8996497055053175,Highland Park 25,0.8970067970819705,Lagavulin 16,0.8950272707052107,Lagavulin 12,0.8943228808861933,Jura Superstition,0.8935531164507211,Bowmore 15 Darkest,0.8915666443978632,Highland Park Dark Origins,0.8866570727680867,Amrut Fusion,0.8859477755534344,Bowmore 18,0.883143208040636,Laphroaig 18,0.8797824624232243,Ardbeg Ardbog
Glenfarclas 105 Cask Strength,0.9550121530665637,GlenDronach 12 Original,0.9538346386536565,Macallan Sherry Cask Strength,0.9520219331409644,GlenDronach 15 Revival,0.9430820044917001,Macallan 12 Sherry,0.9403715495470469,Glenfarclas 12,0.938353400812968,Aberlour 12 Non Chill Filtered,0.9366897523577888,Glenfarclas 15,0.9357056569275826,Auchentoshan Three Wood,0.9331093001210828,Aberlour A'bunadh batch #45,0.9244174217148429,Bunnahabhain 18,0.9224152295793708,Glenfarclas 25,0.9217685614253426,Aberlour A'bunadh batch #47,0.9184525487135005,Macallan 18 Sherry,0.9164625616115488,Glenmorangie Lasanta,0.9148548954352186,Balvenie 15 Single Barrel Sherry Cask,0.9138756973475397,GlenDronach 21 Parliament,0.9111969336767618,Glenfarclas 17,0.9096497359302994,Aberlour 16,0.9095029694604346,Benrinnes 23,0.9089914533019281,BenRiach 12 Sherry Matured
Kilchoman Machir Bay,0.9563895101273827,Longrow Peated,0.95355775205964,Laphroaig 18,0.9527668467364132,Ardbeg 10,0.9420815076368251,Caol Ila 12,0.9358724931751758,Bruichladdich Port Charlotte Scottish Barley,0.9342399312683697,Ardbeg Corryvreckan,0.9306269916012521,Laphroaig 10,0.9304586101419576,Ledaig 10,0.9275620875750332,Laphroaig Quarter Cask,0.9264784071166298,Finlaggan Old Reserve,0.9246125951436879,Lagavulin 12,0.92288643679753,Lagavulin 16,0.9191681323540541,Springbank 10,0.9179630354069725,Bruichladdich Octomore 6.1,0.9108081440691719,Ardbeg Galileo,0.9088443226270075,Compass Box Peat Monster,0.907998045277275,Bunnahabhain Toiteach,0.9049573255920595,Bowmore 12,0.9037539846928914,Bruichladdich Port Charlotte The Peat Project,0.9026236789347833,Lagavulin 8
Bruichladdich The Laddie Ten,0.9220288378084012,Johnnie Walker Green Label,0.916010517624104,Highland Park 12,0.9137921121556363,Springbank 10,0.9100779717347289,Oban 14,0.9028384427794667,Old Pulteney 12,0.8988547814460421,Clynelish 14,0.8887605121393807,Bunnahabhain 12,0.8882887882494221,Ardmore Traditional Cask Peated,0.8880831736328991,Black Bottle,0.8860697005491467,Highland Park 18,0.885448390711171,Springbank 15,0.8798599544175291,Caol Ila 12,0.8786027249517885,Tobermory 10,0.8783814411119589,Talisker 18,0.8762426374762212,Kilchoman Machir Bay,0.862600407751891,Laphroaig 18,0.861318361300475,Ardbeg Galileo,0.8600007244123256,Jura Superstition,0.8591279631896777,Bruichladdich Port Charlotte The Peat Project,0.8585283427432532,Johnnie Walker Black Label
Buffalo Trace,0.961660033577119,Wild Turkey 101,0.9549781983636958,Elijah Craig 12,0.9534495460727775,Elmer T. Lee,0.9523070358087633,Four Roses Small Batch,0.9479551283417196,Blanton's Original Single Barrel,0.9442594752342361,Woodford Reserve Distiller's Select,0.9405474426223595,Eagle Rare 10,0.9381624610884808,Wild Turkey Rare Breed,0.9371007374019529,Four Roses Single Barrel,0.9370502104350565,Colonel E.H. Taylor Small Batch,0.925389720467958,Colonel E.H. Taylor Single Barrel,0.9236538208412428,Old Weller Antique 107,0.9217245850576525,Booker's Bourbon,0.9169764205329449,Evan Williams Black Label,0.913170012819565,W.L. Weller 12,0.9127441831729963,Bulleit Bourbon,0.905218321606121,Old Grand Dad 114,0.904493537423657,Russell's Reserve Single Barrel Bourbon,0.9036134407810033,1792 Ridgemont Reserve,0.9031753910363748,Old Grand Dad 100 Bottled in Bond
Four Roses Single Barrel,0.9465132139855715,Bulleit Bourbon,0.9442706185660095,Four Roses Small Batch,0.9419052610407471,Wild Turkey 101,0.9413286035590573,Old Grand Dad 114,0.9382296737843763,Elmer T. Lee,0.9378664319125036,Blanton's Original Single Barrel,0.9378558890658015,Buffalo Trace,0.9247106891166397,Wild Turkey Rare Breed,0.9207949946656329,Elijah Craig 12,0.9175922817264545,Woodford Reserve Distiller's Select,0.9160154906771789,Blanton's Straight from the Barrel,0.9159772464408446,Four Roses Small Batch Limited Edition 2013 125th Anniversary,0.9158351427110268,Old Grand Dad 100 Bottled in Bond,0.9156330064532258,Basil Hayden's,0.9141745291027088,Colonel E.H. Taylor Small Batch,0.9122436975031715,Russell's Reserve Single Barrel Bourbon,0.8980232251529198,Bulleit Bourbon 10,0.8891754361918389,Thomas H. Handy 2013,0.8882861243897009,High West Son of Bourye,0.88683860431844,Willett Family Estate Rye 3y
Laphroaig 18,0.9626789343980986,Laphroaig Quarter Cask,0.9602412198274486,Lagavulin 16,0.9597248842053727,Lagavulin 12,0.9558456565698865,Kilchoman Machir Bay,0.9555557183995653,Laphroaig 10,0.9513372746091415,Caol Ila 12,0.9500830495545349,Ardbeg 10,0.945401009959914,Ardbeg Corryvreckan,0.9448796154661178,Finlaggan Old Reserve,0.9389788591073469,Bruichladdich Octomore 6.1,0.9380709709085437,Ledaig 10,0.936494034560287,Ardbeg Galileo,0.9345023383867732,Laphroaig 10 Cask Strength,0.9266427893082622,Laphroaig Cairdeas 2015,0.9264171916547337,Compass Box Peat Monster,0.9247413447746575,Ardbeg Ardbog,0.9247110496807291,Ardbeg Uigeadail,0.9178109921810425,Longrow Peated,0.9164552913581177,Springbank 10,0.9140065112949294,Talisker 18
