whiskey,Match_1,Reco_1,Match_2,Reco_2,Match_3,Reco_3,Match_4,Reco_4,Match_5,Reco_5,Match_6,Reco_6,Match_7,Reco_7,Match_8,Reco_8,Match_9,Reco_9,Match_10,Reco_10,Match_11,Reco_11,Match_12,Reco_12,Match_13,Reco_13,Match_14,Reco_14,Match_15,Reco_15,Match_16,Reco_16,Match_17,Reco_17,Match_18,Reco_18,Match_19,Reco_19,Match_20,Reco_20
Ledaig 18,0.8507243661090076,Kilchoman Sanaig,0.8498965483960511,Springbank 15,0.8356738527712365,Highland Park Dark Origins,0.8351617987284083,Laphroaig An Cuan Mor,0.8350884448377802,Ardbeg Dark Cove Committee Release,0.8244051678623034,Laphroaig Lore,0.8235563584616673,Bruichladdich Octomore 7.2,0.820744744648576,Ardbeg Day,0.8170947815986274,Ledaig 7 /r/Scotch Community Cask,0.8159725425970493,Ardbeg Uigeadail,0.8151970513691513,Kilchoman Loch Gorm,0.8150664732038745,Lagavulin 8,0.811156879575799,Jura Superstition,0.810430884869548,Bruichladdich Octomore 4.2_167 Comus,0.8103033749952837,Laphroaig PX Cask,0.805629958253671,Ardbeg Ardbog,0.8048899227220478,Ledaig 10,0.8031911408110328,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,0.7970997589503821,Bowmore 15 Darkest,0.7961544348542365,BenRiach 17 Solstice
Ardbeg Supernova 2014,0.8616841548876062,Ardbeg Airigh Nam Beist 1990,0.8541186742979029,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,0.8474767888496718,Ardbeg Corryvreckan,0.8459196124598662,Bowmore 12,0.8392504587433465,Kilchoman Machir Bay,0.8362250315670443,Laphroaig 18,0.8291706754284422,Laphroaig 10 Cask Strength,0.8285177259899486,Bunnahabhain Toiteach,0.8263998707888169,Ardbeg 10,0.8260069539952811,Laphroaig Cairdeas 2012 Origin,0.8255438607881955,Laphroaig 10,0.8233064861633852,Laphroaig Lore,0.823056248059719,Ardbeg Perpetuum,0.8214399160124797,Bruichladdich Octomore 6.1,0.820734889346852,Caol Ila 12,0.8196730223613278,Ledaig 7 /r/Scotch Community Cask,0.8132478717667591,Lagavulin 16,0.8043821510051519,Laphroaig Cairdeas 2014 Amontillado,0.8037351422062778,Bruichladdich Port Charlotte Scottish Barley,0.801505301791306,Longrow Peated
Wild Turkey Kentucky Spirit,0.9121522977200087,Wild Turkey Rare Breed,0.909086193050526,Blanton's Straight from the Barrel,0.9047943291000579,Four Roses Small Batch Limited Edition 2013 125th Anniversary,0.9005229495502222,Wild Turkey Decades,0.8998235931255658,Wild Turkey 101,0.8973369256157091,Orphan Barrel Barterhouse 20,0.893522975939947,Russell's Reserve Single Barrel Bourbon,0.8925439267785953,1792 Full Proof,0.8885455986428998,Colonel E.H. Taylor Barrel Proof,0.8831097525074391,Four Roses Single Barrel Private Selection OBSQ,0.8809242666067125,Colonel E.H. Taylor Small Batch,0.8777113377943601,1792 Small Batch,0.8722482656705014,Booker's Bourbon,0.869725304903969,Old Grand Dad 100 Bottled in Bond,0.868272798286394,Old Grand Dad 114,0.8682215360787862,Elijah Craig Barrel Proof,0.8655184689879608,Eagle Rare 10,0.8642960221429461,Elmer T. Lee,0.8641620017185002,1792 Ridgemont Reserve,0.8638516254605255,Four Roses Single Barrel
Hazelburn 10,0.849692440661542,Monkey Shoulder,0.8472789660591599,Auchentoshan Classic,0.8296603316606856,Deanston 12,0.8274090324994895,Craigellachie 13,0.8272637818699894,Green Spot,0.8168304285129616,Aultmore 12,0.8116013470583359,Balvenie 12 Single Barrel First Fill,0.8083713260742981,Glenmorangie 10 Original,0.8050742897982428,Cardhu 12,0.797999430436404,Aberfeldy 12,0.7975794828752188,Deanston Virgin Oak,0.7947113172442128,AnCnoc 12,0.7942534427054967,Arran 14,0.7927755604030576,Compass Box Enlightenment,0.7924102306445099,Glenlivet 16 Nadurra,0.7801244437515047,Dalwhinnie 15,0.7793760284072476,Tobermory 10,0.7771132113370169,Glenlivet 12,0.7737263392949254,Clynelish 14,0.7725121752379385,Glenfiddich 12
Black Grouse,0.8405226200068787,Black Bottle,0.8254350553695448,Johnnie Walker Green Label,0.8081488096387479,Amrut Fusion,0.802194848966756,Johnnie Walker Blue Label,0.7984698223427671,Dewar's 12,0.7963535526315904,Highland Park 12,0.7952477411347356,Compass Box Great King St. Glasgow Blend,0.7914568063935719,Bowmore 12,0.7898928842731663,Johnnie Walker Black Label,0.7822161864001143,Johnnie Walker Red Label,0.7756740660038819,Johnnie Walker Gold Label,0.7721527102420092,Springbank 10,0.7706382195868993,Sheep Dip,0.7701012142032675,J&B Rare,0.7679909557240114,Lagavulin 16,0.7673245162328475,Benromach 10,0.7586751337929888,Springbank 15,0.7584855175331829,Talisker 10,0.758069526692085,Ardmore Traditional Cask Peated,0.7542310337361411,Oban 14
Four Roses Single Barrel Private Selection OESF,0.9013041022869317,Four Roses Single Barrel Private Selection OBSF,0.8819372199853498,Four Roses Single Barrel Private Selection OBSV,0.8794827002599853,Four Roses Small Batch Limited Edition 2014,0.8685692136203568,Four Roses Small Batch Limited Edition 2013 125th Anniversary,0.8613041315263161,Four Roses Single Barrel Private Selection OBSQ,0.8599558763071935,Wild Turkey Rare Breed,0.8542539968762342,Four Roses Single Barrel Private Selection OESK,0.8538172675589767,Smooth Ambler Old Scout Bourbon 10,0.8531772766946306,Old Grand Dad 114,0.8460914723228262,Smooth Ambler Old Scout Rye 7,0.8432257869073931,Thomas H. Handy 2013,0.8387796994867018,Bulleit Bourbon,0.836357363944883,Four Roses Single Barrel Limited Edition 2014,0.8353628637958489,Four Roses Single Barrel,0.8306710096157398,Blanton's Straight from the Barrel,0.8291914544352975,Four Roses Small Batch Limited Edition 2015,0.8288495338517912,Elmer T. Lee,0.827642086147234,Four Roses Single Barrel Private Selection OBSK,0.8271475959077282,Bulleit Bourbon 10,0.8266344024319701,Smooth Ambler Old Scout Rye 8
Ardbeg Drum Committee Release,0.791816989659212,Kilchoman Sanaig,0.7807465736695718,Bruichladdich Port Charlotte Scottish Barley,0.7784242529983323,Bruichladdich Octomore 7.2,0.7755994984617438,Ledaig 7 /r/Scotch Community Cask,0.7731608066730711,Amrut Fusion,0.7706273367058402,Springbank 10,0.7692347941847751,Lagavulin 8,0.7631196373391393,Compass Box Peat Monster,0.7578901433518137,Benromach 10,0.7542954334581027,Amrut Peated Cask Strength,0.7526349063773112,Bruichladdich Octomore 6.1,0.7473788816321814,Springbank 18,0.7407319134825734,Kilchoman Machir Bay,0.7304203283195253,Laphroaig Cairdeas 2016 Madeira,0.7288409909123708,Bowmore 12,0.726480762865086,Ardbeg Ardbog,0.7219088089035979,Highland Park 12,0.7208487207772103,Springbank 15,0.7153159738238608,Ardbeg Galileo,0.7146928087289663,Bruichladdich Port Charlotte The Peat Project
Tamdhu 10,0.859377899292242,Balvenie Tun 1401 Batch #3,0.8402095186227841,Aberlour 16,0.8232001589128177,Macallan 12 Double Cask,0.8129295324130026,Macallan 18 Sherry,0.7698113105517916,Aberlour 10,0.7679098135367831,Glenmorangie Lasanta,0.7639810485005181,Aberlour A'bunadh batch #46,0.7596548405049148,GlenDronach 12 Original,0.7588753461173423,Glenfarclas 105 Cask Strength,0.7570993699935025,Aberlour A'bunadh batch #47,0.7530383668986116,Glenlivet 18,0.7497417123012686,Macallan 12 Sherry,0.7492447598305548,Glenfarclas 17,0.7478217178784254,Tobermory 15,0.7422224166780493,Bruichladdich Black Art 2.2,0.7401380692600066,Aberlour 12 Double Cask Matured,0.7391431573995282,Glenfarclas 12,0.7374635893268225,Balvenie 17 Doublewood,0.7344237851407326,BenRiach 12 Sherry Matured,0.7340655425578333,Auchentoshan Three Wood
Eagle Rare 17,0.8921499035795848,Evan Williams Single Barrel 2003,0.8885016010641312,Elijah Craig 12,0.8576809235311184,1792 Ridgemont Reserve,0.8576399514195414,Van Winkle Special Reserve 12 Lot B,0.8491794674059774,Orphan Barrel Barterhouse 20,0.842146133042424,Four Roses Small Batch Limited Edition 2013 125th Anniversary,0.8314122621667461,Eagle Rare 10,0.8306680613718348,Elijah Craig Barrel Proof,0.8294115011064055,Henry McKenna 10 Single Barrel,0.8283457820549774,Blanton's Original Single Barrel,0.8277297242020726,Booker's Bourbon,0.8251995986450156,W.L. Weller 12,0.8251523169499404,Colonel E.H. Taylor Barrel Proof,0.8127210677999323,Colonel E.H. Taylor Cured Oak,0.810100253711642,George T. Stagg 2013,0.8071976145969946,Old Grand Dad 114,0.8033699802114367,Rebel Yell 10 Single Barrel,0.799039893792878,Russell's Reserve Single Barrel Bourbon,0.7960434891117617,Colonel E.H. Taylor Small Batch,0.7949399882010536,Bulleit Bourbon
Jim Beam Devil's Cut,0.8868391545754486,Knob Creek 9 Small Batch,0.8514882896115051,Woodford Reserve Distiller's Select,0.8481405959738546,Jim Beam Signature Craft 12,0.8364524488998093,Evan Williams Single Barrel 2003,0.833791888014199,Jack Daniel's Single Barrel,0.8332591941227788,Wild Turkey Rare Breed,0.8327630957855583,Buffalo Trace,0.8288544669512157,Baker's 107,0.8225243968637916,Evan Williams Black Label,0.8217567384278949,Blanton's Original Single Barrel,0.8192798210411525,Jim Beam Black 8 Double Aged,0.8145329359778678,Wild Turkey 81,0.8130375299303443,Orphan Barrel Barterhouse 20,0.8116571221984923,Colonel E.H. Taylor Small Batch,0.807487401926372,Bulleit Bourbon,0.8065581848635835,Eagle Rare 10,0.8061196469354828,Booker's Bourbon,0.8049942896431781,Old Forester 86,0.7984512503678396,Elijah Craig 12,0.7984263067485897,Wild Turkey 101
Bruichladdich 21 Cuvee 407 PX,0.8741646573882909,Bruichladdich Black Art 4.1,0.8698067464091831,Glenfarclas 105 Cask Strength,0.854644690431402,Glengoyne 25,0.8424494648120007,GlenDronach 21 Parliament,0.8350303061203058,GlenDronach 15 Revival,0.8350191607090995,Glenfarclas 15,0.8344603791445528,Glengoyne 21,0.8287274271435907,Bruichladdich Black Art 3.1,0.828326431879987,Macallan Sherry Cask Strength,0.8281221309133411,Kavalan Solist Sherry,0.8255502403196158,Macallan Classic Cut 2017,0.8215379988595624,Highland Park 25,0.8208605473686615,Benrinnes 23,0.8205112240076864,Macallan Edition No. 2,0.8097592210850975,Balvenie Tun 1401 Batch #3,0.803698640327302,Glenfarclas 25,0.7940010328544715,Old Pulteney 21,0.7903493659870978,Bunnahabhain 18,0.782733711292353,Macallan 18 Sherry,0.7807502727074986,Balvenie 15 Single Barrel Sherry Cask
Talisker 175th Anniversary,0.873168729280568,Johnnie Walker Green Label,0.8612399391075789,Talisker 18,0.8493250455709251,Springbank 15,0.8440552470000515,Highland Park 18,0.8392342320346421,Bruichladdich The Laddie Ten,0.8386768727205037,Springbank 18,0.8257169017675194,Highland Park 15,0.8245810328879587,Ardbeg Alligator,0.814785309499346,Talisker Storm,0.8144607443204717,Old Pulteney 21,0.8116361825321761,Talisker 25,0.80430849873512,Springbank 10,0.8041659219253925,Talisker 10,0.8019930120142387,Ardbeg Galileo,0.7946162040044855,Compass Box Peat Monster,0.7936773770477406,Ardbeg Ardbog,0.7924126742035383,Laphroaig 18,0.7920384393958244,Old Pulteney 12,0.7899885439278371,Oban 14,0.7898528183940371,Ardbeg Perpetuum
Jefferson's 10 Rye Whiskey,0.8904285328287209,Willett Family Estate Rye 4y,0.8349154775205765,High West Double Rye,0.8296958274153929,WhistlePig 10 Straight Rye,0.8274937818397887,Rittenhouse Rye 100,0.8230861947800516,Bulleit Rye,0.8045153480405601,High West Rendezvous Rye,0.8034409863378658,Colonel E.H. Taylor Straight Rye,0.7930600219197056,Sazerac Rye,0.7902997864454911,Thomas H. Handy 2013,0.78860725397108,Knob Creek Rye,0.7836266798930281,Willett Family Estate Rye 3y,0.7821061324788056,Collingwood 21,0.7797318329949163,Breckenridge Bourbon,0.7611409340968325,Wild Turkey 101 Rye,0.7562712213451601,Wild Turkey Forgiven,0.7534000430139561,Smooth Ambler Old Scout Rye 7,0.7410763519113875,Bulleit Bourbon,0.7410686450753532,Lot No. 40,0.7369165478894426,Blanton's Original Single Barrel,0.7324281890463136,Basil Hayden's
