whiskey,reviews,average,std_dev,type,brand,dist,owner,lat,lng,zoom
Oban 18,17,87.88,4.48,Scotch (Highlands),Oban,Oban,Diageo,56.415012,-5.47226,17
Oban Little Bay,9,79.67,6.34,Scotch (Highlands),Oban,Oban,Diageo,56.415012,-5.47226,17
Old Ezra 101,13,85.15,3.51,Bourbon,Old Ezra,Luxco,Luxco,37.810415,-85.428056,17
Old Forester 1920,21,84.33,4.26,Bourbon,Old Forester,Brown-Forman,Brown-Forman,38.207109,-85.794374,17
Old Forester 86,13,77.69,9.59,Bourbon,Old Forester,Brown-Forman,Brown-Forman,38.207109,-85.794374,17
Old Forester Birthday Bourbon 2014,12,84.92,7.23,Bourbon,Old Forester,Brown-Forman,Brown-Forman,38.207109,-85.794374,17
Old Forester Signature,17,82.41,5.5,Bourbon,Old Forester,Brown-Forman,Brown-Forman,38.207109,-85.794374,17
Old Grand Dad 100 Bottled in Bond,53,82.23,6.47,Bourbon,Old Grand Dad,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Old Grand Dad 114,60,84.37,6.57,Bourbon,Old Grand Dad,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Old Pulteney 12,82,81.01,6.74,Scotch (Highlands),Old Pulteney,Old Pulteney,Inver House,58.434944,-3.08461,17
Old Pulteney 17,35,85.4,4.76,Scotch (Highlands),Old Pulteney,Old Pulteney,Inver House,58.434944,-3.08461,17
Old Pulteney 21,27,87.81,7.44,Scotch (Highlands),Old Pulteney,Old Pulteney,Inver House,58.434944,-3.08461,17
Old Rip Van Winkle 10,32,88.88,5.38,Bourbon,Van Winkle,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Old Weller Antique 107,95,85.47,5.51,Bourbon,W.L. Weller,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Orphan Barrel Barterhouse 20,31,83.26,10.15,Bourbon,Orphan Barrel,Sourced (Bourbon),Orphan Barrel,37.468601,-85.018563,7
