whiskey,reviews,average,std_dev,type,brand,dist,owner,lat,lng,zoom
Glenfiddich 12,138,76.93,7.39,Scotch (Speyside),Glenfiddich,Glenfiddich,William Grant & Sons,57.455039,-3.129154,17
Glenfiddich 14 Bourbon Barrel Reserve,11,77.82,6.57,Scotch (Speyside),Glenfiddich,Glenfiddich,William Grant & Sons,57.455039,-3.129154,17
Glenfiddich 14 Rich Oak,18,83.44,5.88,Scotch (Speyside),Glenfiddich,Glenfiddich,William Grant & Sons,57.455039,-3.129154,17
Glenfiddich 15,77,81.69,8.1,Scotch (Speyside),Glenfiddich,Glenfiddich,William Grant & Sons,57.455039,-3.129154,17
Glenfiddich 15 Distillery Edition,24,81.17,8.03,Scotch (Speyside),Glenfiddich,Glenfiddich,William Grant & Sons,57.455039,-3.129154,17
Glenfiddich 18,62,83.18,8.28,Scotch (Speyside),Glenfiddich,Glenfiddich,William Grant & Sons,57.455039,-3.129154,17
Glenfiddich 21 Gran Reserva,16,82.44,7.38,Scotch (Speyside),Glenfiddich,Glenfiddich,William Grant & Sons,57.455039,-3.129154,17
Glenfiddich Experimental Series IPA Cask Finish,16,78.56,4.99,Scotch (Speyside),Glenfiddich,Glenfiddich,William Grant & Sons,57.455039,-3.129154,17
Glenfiddich Snow Phoenix,12,87.75,4.65,Scotch (Speyside),Glenfiddich,Glenfiddich,William Grant & Sons,57.455039,-3.129154,17
Glengoyne 10,13,72.92,14.39,Scotch (Highlands),Glengoyne,Glengoyne,Ian Macleod,56.014121,-4.364996,17
Glengoyne 12,18,81.56,3.73,Scotch (Highlands),Glengoyne,Glengoyne,Ian Macleod,56.014121,-4.364996,17
Glengoyne 15,13,84.23,3.79,Scotch (Highlands),Glengoyne,Glengoyne,Ian Macleod,56.014121,-4.364996,17
Glengoyne 17,19,82.63,6.33,Scotch (Highlands),Glengoyne,Glengoyne,Ian Macleod,56.014121,-4.364996,17
Glengoyne 18,20,83.3,7.83,Scotch (Highlands),Glengoyne,Glengoyne,Ian Macleod,56.014121,-4.364996,17
Glengoyne 21,20,86.15,4.39,Scotch (Highlands),Glengoyne,Glengoyne,Ian Macleod,56.014121,-4.364996,17
Glengoyne 25,16,91.62,4.15,Scotch (Highlands),Glengoyne,Glengoyne,Ian Macleod,56.014121,-4.364996,17
Glenkinchie 12,35,76.86,11.19,Scotch (Lowlands),Glenkinchie,Glenkinchie,Diageo,55.891385,-2.89159,17
Glenlivet 12,116,75.48,9.37,Scotch (Speyside),Glenlivet,Glenlivet,Pernod Ricard,57.343468,-3.338513,17
Glenlivet 15 French Oak Reserve,63,80.51,6.57,Scotch (Speyside),Glenlivet,Glenlivet,Pernod Ricard,57.343468,-3.338513,17
Glenlivet 16 Nadurra,83,85.78,5.18,Scotch (Speyside),Glenlivet,Glenlivet,Pernod Ricard,57.343468,-3.338513,17
Glenlivet 18,62,83.27,7.09,Scotch (Speyside),Glenlivet,Glenlivet,Pernod Ricard,57.343468,-3.338513,17
