whiskey,Reco_1,Reco_2,Reco_3,Reco_4,Reco_5,Reco_6,Reco_7,Reco_8,Reco_9,Reco_10,Reco_11,Reco_12,Reco_13,Reco_14,Reco_15,Reco_16,Reco_17,Reco_18,Reco_19,Reco_20,Reco_21,Reco_22,Reco_23,Reco_24,Reco_25,Reco_26,Reco_27,Reco_28,Reco_29,Reco_30,Reco_31,Reco_32,Reco_33,Reco_34,Reco_35,Reco_36,Reco_37,Reco_38,Reco_39,Reco_40,Reco_41,Reco_42,Reco_43,Reco_44,Reco_45,Reco_46,Reco_47,Reco_48,Reco_49,Reco_50,TF_Similarity_1,TF_Similarity_2,TF_Similarity_3,TF_Similarity_4,TF_Similarity_5,TF_Similarity_6,TF_Similarity_7,TF_Similarity_8,TF_Similarity_9,TF_Similarity_10,TF_Similarity_11,TF_Similarity_12,TF_Similarity_13,TF_Similarity_14,TF_Similarity_15,TF_Similarity_16,TF_Similarity_17,TF_Similarity_18,TF_Similarity_19,TF_Similarity_20,TF_Similarity_21,TF_Similarity_22,TF_Similarity_23,TF_Similarity_24,TF_Similarity_25,TF_Similarity_26,TF_Similarity_27,TF_Similarity_28,TF_Similarity_29,TF_Similarity_30,TF_Similarity_31,TF_Similarity_32,TF_Similarity_33,TF_Similarity_34,TF_Similarity_35,TF_Similarity_36,TF_Similarity_37,TF_Similarity_38,TF_Similarity_39,TF_Similarity_40,TF_Similarity_41,TF_Similarity_42,TF_Similarity_43,TF_Similarity_44,TF_Similarity_45,TF_Similarity_46,TF_Similarity_47,TF_Similarity_48,TF_Similarity_49,TF_Similarity_50
High West Double Rye,High West Rendezvous Rye,Colonel E.H. Taylor Straight Rye,Bulleit Rye,Rittenhouse Rye 100,WhistlePig 10 Straight Rye,Willett Family Estate Rye 4y,Sazerac Rye,High West Bourye,Michter's 10 Rye,Pikesville Rye,Thomas H. Handy 2013,Smooth Ambler Old Scout Rye 7,Michter's Barrel Strength Rye,High West Son of Bourye,Jefferson's 10 Rye Whiskey,Russell's Reserve Single Barrel Rye,Willett Family Estate Rye 3y,Angel's Envy Rye,High West Campfire,Thomas H. Handy 2014,High West A Midwinter Nights Dram,Willett Family Estate Rye 2y,Bulleit Bourbon,Wild Turkey 101 Rye,Four Roses Single Barrel,Four Roses Single Barrel Private Selection OBSQ,Booker's Rye,Alberta Premium Dark Horse,Lot No. 40,J.P. Wiser's Dissertation,Breckenridge Bourbon,Millstone 100 Rye,Wild Turkey Forgiven,Old Grand Dad 114,Smooth Ambler Old Scout Rye 8,Collingwood 21,Bulleit Bourbon 10,Knob Creek Rye,Basil Hayden's,Four Roses Small Batch,Old Grand Dad 100 Bottled in Bond,Van Winkle Family Reserve Rye 13,Crown Royal Northern Harvest Rye,Very Old Barton Bottled In Bond,Wild Turkey 101,Thomas H. Handy 2016,1792 Ridgemont Reserve,Blanton's Original Single Barrel,Four Roses Single Barrel Private Selection OBSF,Woodford Reserve Distiller's Select,0.9329,0.8632,0.8492,0.844,0.8309,0.8229,0.7895,0.7875,0.7751,0.7601,0.7566,0.7475,0.7338,0.7225,0.6954,0.6918,0.6728,0.6541,0.6465,0.6247,0.6182,0.6093,0.6078,0.5927,0.5848,0.5777,0.5754,0.5706,0.563,0.5567,0.5427,0.5376,0.5276,0.5242,0.5079,0.5072,0.5053,0.4983,0.4794,0.4787,0.4767,0.474,0.4513,0.4485,0.444,0.4255,0.4235,0.4166,0.4085,0.3991
Auchentoshan 12,Glenlivet 12,Glenmorangie 10 Original,Balvenie 12 Doublewood,Dalwhinnie 15,Oban 14,Highland Park 12,Glenkinchie 12,Glenfiddich 15,Bunnahabhain 12,Auchentoshan Three Wood,Benromach 10,Glenfiddich 12,Glenlivet 18,Johnnie Walker Black Label,Macallan 12 Sherry,Clynelish 14,AnCnoc 12,Cragganmore 12,Tobermory 10,Aberlour 10,Highland Park 18,Glenlivet 16 Nadurra,Tomatin 12,Aberlour 12 Double Cask Matured,Macallan 10 Fine Oak,Glenfiddich 18,Arran 10,Johnnie Walker Green Label,Glenfarclas 12,Chivas Regal 12,Springbank 10,Springbank 15,Glenlivet 15 French Oak Reserve,Monkey Shoulder,Bruichladdich The Laddie Ten,Arran 14,Ardbeg Uigeadail,Bunnahabhain 18,Speyburn 10,Amrut Fusion,Auchentoshan Valinch,Dalmore 12,Aberfeldy 12,Glenfarclas 105 Cask Strength,Mackinlay's Shackleton Rare Old Highland Malt Whisky,Johnnie Walker Blue Label,Glenfarclas 17,Glenmorangie 18,Aberlour 12 Non Chill Filtered,Lagavulin 16,0.4327,0.422,0.4214,0.413,0.3987,0.3986,0.3919,0.3883,0.3826,0.3807,0.3772,0.3761,0.3672,0.364,0.3626,0.3563,0.355,0.3535,0.3535,0.351,0.3508,0.3479,0.3419,0.3417,0.3401,0.3393,0.3383,0.3286,0.3264,0.3254,0.3223,0.3196,0.3153,0.3133,0.3043,0.304,0.2981,0.2971,0.2956,0.2931,0.2924,0.2918,0.2899,0.2882,0.2865,0.2854,0.2846,0.2836,0.2812,0.2808
Orphan Barrel Barterhouse 20,Blanton's Original Single Barrel,Blanton's Straight from the Barrel,Elijah Craig 12,Wild Turkey Rare Breed,Elmer T. Lee,Colonel E.H. Taylor Small Batch,Four Roses Single Barrel,Henry McKenna 10 Single Barrel,Elijah Craig Barrel Proof,Four Roses Small Batch,Wild Turkey 101,Michter's 10 Bourbon,Eagle Rare 10,Colonel E.H. Taylor Barrel Proof,Bulleit Bourbon,Woodford Reserve Distiller's Select,Elijah Craig 18,Buffalo Trace,Russell's Reserve Single Barrel Bourbon,W.L. Weller 12,Stagg Jr.,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Old Grand Dad 114,Evan Williams Single Barrel 2003,Colonel E.H. Taylor Single Barrel,Booker's Bourbon,Noah's Mill,Parker's Heritage Collection 7th: Promise of Hope,Balvenie 15 Single Barrel,1792 Full Proof,Old Grand Dad 100 Bottled in Bond,Four Roses Small Batch Limited Edition 2014,Bulleit Bourbon 10,Black Maple Hill,George T. Stagg 2013,Four Roses Single Barrel Private Selection OBSQ,Four Roses Yellow Label,Old Rip Van Winkle 10,Old Ezra 101,1792 Small Batch,Old Forester 1920,Evan Williams White Label Bottled in Bond,High West Bourye,Rebel Yell 10 Single Barrel,Old Weller Antique 107,Woodford Reserve Double Oaked,Van Winkle Special Reserve 12 Lot B,Colonel E.H. Taylor Cured Oak,Four Roses Small Batch Limited Edition 2015,1792 Ridgemont Reserve,0.4736,0.4593,0.4538,0.4489,0.445,0.4436,0.4406,0.4368,0.4284,0.4212,0.4148,0.4147,0.4092,0.4073,0.4052,0.4041,0.3918,0.3882,0.3839,0.383,0.3786,0.3739,0.3699,0.3669,0.3607,0.3573,0.3531,0.341,0.3397,0.3392,0.3354,0.3314,0.3313,0.3247,0.3229,0.3207,0.3183,0.3181,0.3121,0.3113,0.3102,0.308,0.307,0.3064,0.3043,0.304,0.3024,0.2961,0.2944,0.2865
Aberfeldy 12,Dalwhinnie 15,Oban 14,Johnnie Walker Black Label,Glenmorangie 10 Original,Glenlivet 12,AnCnoc 12,Bruichladdich The Laddie Ten,Highland Park 12,Glenfiddich 12,Speyburn 10,Benromach 10,Johnnie Walker Green Label,Tobermory 10,Clynelish 14,Chivas Regal 12,Arran 14,Glenlivet 16 Nadurra,Arran 10,Cragganmore 12,Springbank 10,Glenlivet 15 French Oak Reserve,Monkey Shoulder,Johnnie Walker Blue Label,Cardhu 12,Balvenie 12 Doublewood,Glenkinchie 12,Macallan 10 Fine Oak,Dewar's White Label,Bunnahabhain 12,Old Pulteney 12,Highland Park 18,Glenfiddich 18,Deanston 12,Glenlivet 18,Johnnie Walker Gold Label,Glenfiddich 15,Springbank 15,Bruichladdich Port Charlotte 10,Balvenie 15 Single Barrel,Ledaig 10,Mackinlay's Shackleton Rare Old Highland Malt Whisky,Bowmore 12,Caol Ila 12,Ardbeg 10,Amrut Fusion,Lagavulin 12,Talisker 10,Dewar's 12,Ardmore Traditional Cask Peated,Kilkerran 12,0.4893,0.4735,0.4639,0.4459,0.4401,0.4341,0.4261,0.424,0.4189,0.4084,0.4039,0.4027,0.3996,0.3964,0.3931,0.3878,0.3866,0.3863,0.3845,0.3838,0.3765,0.372,0.3706,0.3687,0.3649,0.364,0.3609,0.3591,0.359,0.3564,0.3551,0.3539,0.3526,0.3497,0.3492,0.3466,0.342,0.3357,0.3343,0.3335,0.3335,0.3325,0.3312,0.3312,0.3294,0.3293,0.3286,0.3268,0.3261,0.3223
Baker's 107,Knob Creek Single Barrel Reserve,Booker's Bourbon,Knob Creek 9 Small Batch,Jim Beam Black 8 Double Aged,Jim Beam Signature Craft 12,Knob Creek Rye,Jim Beam Devil's Cut,Old Grand Dad 114,Jim Beam Bonded,Jim Beam White Label,Old Grand Dad 100 Bottled in Bond,Basil Hayden's,Booker's 25th Anniversary,Evan Williams White Label Bottled in Bond,1792 Full Proof,Henry McKenna 10 Single Barrel,Russell's Reserve Single Barrel Bourbon,Woodford Reserve Distiller's Select,Wild Turkey Rare Breed,Wild Turkey 101,Noah's Mill,Blanton's Straight from the Barrel,Bulleit Bourbon,Old Forester 1920,Michter's 10 Bourbon,Four Roses Single Barrel,Colonel E.H. Taylor Small Batch,Blanton's Original Single Barrel,Rowan's Creek,Elmer T. Lee,Elijah Craig 12,Buffalo Trace,Evan Williams Black Label,Elijah Craig Barrel Proof,Four Roses Small Batch,Colonel E.H. Taylor Barrel Proof,Orphan Barrel Barterhouse 20,Booker's Rye,Stagg Jr.,Breckenridge Bourbon,Rebel Yell 10 Single Barrel,Black Maple Hill,Wild Turkey 81,George Dickel No. 12,Heaven Hill 6 Bottled in Bond,Glenmorangie Ealanta,Evan Williams Single Barrel 2003,Parker's Heritage Collection 6th: Blend of Mashbills,Parker's Heritage Collection 7th: Promise of Hope,Jack Daniel's Old No. 7,0.7037,0.6717,0.652,0.6466,0.6357,0.5623,0.5301,0.5256,0.5137,0.4989,0.4176,0.3786,0.3601,0.3428,0.3131,0.306,0.2987,0.2955,0.2933,0.283,0.2797,0.2735,0.2707,0.2665,0.2655,0.2604,0.2603,0.2541,0.2538,0.2513,0.2506,0.2399,0.2373,0.2321,0.223,0.2192,0.2168,0.2165,0.2152,0.2084,0.2078,0.2036,0.2031,0.2013,0.2012,0.1986,0.1971,0.1957,0.1952,0.1925
Deanston 12,Arran 10,Tobermory 10,AnCnoc 12,Glenmorangie 10 Original,Dalwhinnie 15,Glenlivet 12,Arran 14,Glenlivet 16 Nadurra,Oban 14,Glenkinchie 12,Balvenie 15 Single Barrel,Craigellachie 13,Glenfiddich 12,Monkey Shoulder,Old Pulteney 12,Clynelish 14,Yellow Spot,Deanston Virgin Oak,Kilkerran 12,Aberfeldy 12,Cragganmore 12,Glenlivet 18,Speyburn 10,Balvenie 12 Single Barrel First Fill,Bruichladdich The Laddie Ten,Arran Amarone Cask Finish,Green Spot,Macallan 10 Fine Oak,Balvenie 12 Doublewood,Auchentoshan Valinch,Glengoyne 17,Glenmorangie Astar,Glenfiddich 15,Aultmore 12,Johnnie Walker Green Label,Glenfiddich 18,Glengoyne 10,Glen Garioch 12,Glen Garioch Founder's Reserve,Compass Box Great King St. Artist's Blend,Compass Box Enlightenment,Bunnahabhain 12,Tomatin 12,Auchentoshan Classic,Chivas Regal 12,Glenmorangie Ealanta,Glenlivet 15 French Oak Reserve,Balcones Texas Single Malt,Compass Box Oak Cross,Singleton of Glendullan 12,0.4682,0.4541,0.4503,0.4305,0.4155,0.4001,0.3985,0.3936,0.3916,0.3868,0.3841,0.3821,0.3789,0.3759,0.3702,0.3646,0.3636,0.3628,0.3617,0.3526,0.3488,0.3468,0.3396,0.3394,0.3296,0.3243,0.3238,0.3234,0.3225,0.3174,0.3131,0.3093,0.307,0.3029,0.2992,0.2923,0.2899,0.2893,0.2892,0.2887,0.2863,0.2836,0.283,0.2812,0.2809,0.2756,0.2752,0.2708,0.2706,0.269
Maker's Mark 46,Maker's Mark Cask Strength,Maker's Mark,1792 Sweet Wheat,Larceny Small Batch Bourbon,W.L. Weller 12,Old Weller Antique 107,Colonel E.H. Taylor Small Batch,Elmer T. Lee,Woodford Reserve Double Oaked,Rowan's Creek,W.L. Weller Special Reserve,Bulleit Bourbon,Wild Turkey Rare Breed,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Rebel Yell 10 Single Barrel,Glenlivet 16 Nadurra,Blanton's Original Single Barrel,Woodford Reserve Distiller's Select,Buffalo Trace,Old Rip Van Winkle 10,Booker's Bourbon,Elijah Craig 12,Henry McKenna 10 Single Barrel,Orphan Barrel Barterhouse 20,Wild Turkey 101,Old Ezra 101,Blanton's Straight from the Barrel,Evan Williams Black Label,Black Maple Hill,Eagle Rare 10,Parker's Heritage Collection 8th: Wheat Whiskey,William Larue Weller 2013,Parker's Heritage Collection 7th: Promise of Hope,Glenlivet 18,Glenmorangie 10 Original,Bernheim Original Small Batch Wheat Whiskey,Glenlivet 15 French Oak Reserve,Balvenie 15 Single Barrel,Glenfiddich 15,Four Roses Small Batch,Parker's Heritage Collection 9th: Malt Whiskey,Four Roses Single Barrel,Old Grand Dad 114,Michter's 10 Bourbon,Glenmorangie Astar,Elijah Craig Barrel Proof,Russell's Reserve Single Barrel Bourbon,Stagg Jr.,Noah's Mill,Wild Turkey 81,0.7639,0.6846,0.5818,0.3331,0.2998,0.2596,0.2178,0.2096,0.2026,0.2001,0.1988,0.1976,0.1927,0.1914,0.1885,0.1873,0.186,0.1857,0.1854,0.1842,0.1836,0.17,0.1693,0.1675,0.1643,0.1611,0.1579,0.1571,0.1568,0.1552,0.1552,0.1546,0.1546,0.1524,0.1508,0.1499,0.1487,0.1477,0.1463,0.1412,0.1401,0.1393,0.1393,0.1392,0.139,0.1379,0.137,0.1348,0.1317,0.1317
Yamazaki 12,Nikka Whisky From The Barrel,Hakushu 12,Hibiki Japanese Harmony,Hibiki 17,Glenlivet 12,Glenlivet 16 Nadurra,Dalwhinnie 15,Glenfiddich 12,Glenmorangie 10 Original,Nikka Coffey Grain,Arran 10,Yamazaki 18,Glenfiddich 15,Glenlivet 18,Glenfiddich 18,Oban 14,Clynelish 14,Balvenie 12 Doublewood,Chivas Regal 12,Glenlivet 15 French Oak Reserve,Tobermory 10,Cragganmore 12,Glenkinchie 12,Balvenie 15 Single Barrel,Johnnie Walker Green Label,Monkey Shoulder,Macallan 10 Fine Oak,Aberfeldy 12,Johnnie Walker Black Label,Johnnie Walker Gold Label,AnCnoc 12,Highland Park 12,Bruichladdich The Laddie Ten,Tomatin 12,Auchentoshan Valinch,Old Pulteney 12,Springbank 10,Benromach 10,Glen Garioch 12,Johnnie Walker Blue Label,Speyburn 10,Balvenie 17 Doublewood,Deanston 12,BenRiach 12,Glenfarclas 12,Glenmorangie Astar,Aberlour 12 Double Cask Matured,Amrut Fusion,Glenlivet 21 Archive,Green Spot,0.5106,0.4391,0.4092,0.3735,0.3393,0.3308,0.3194,0.3165,0.3079,0.3037,0.2927,0.2903,0.2767,0.2751,0.274,0.2683,0.2667,0.2656,0.2612,0.2568,0.2564,0.256,0.2545,0.2533,0.2494,0.2478,0.2456,0.2446,0.2413,0.2381,0.2373,0.2342,0.2341,0.2271,0.2259,0.2244,0.223,0.2217,0.2207,0.2199,0.2155,0.215,0.2137,0.2135,0.2124,0.2121,0.2088,0.2081,0.2055,0.2051
Dalmore 15,GlenDronach 12 Original,GlenDronach 15 Revival,Glenfarclas 105 Cask Strength,Glenfarclas 12,Macallan 12 Sherry,Glenmorangie Lasanta,Balvenie 12 Doublewood,Macallan Sherry Cask Strength,Aberlour 10,Dalmore 12,Aberlour 12 Non Chill Filtered,Aberlour 12 Double Cask Matured,Auchentoshan Three Wood,Glenfarclas 17,Balvenie 15 Single Barrel Sherry Cask,Glenfarclas 15,Aberlour A'bunadh batch #45,Glengoyne 21,Glenfarclas 25,GlenDronach 21 Parliament,Macallan 12,BenRiach 12 Sherry Matured,Glenfiddich 15,Aberlour 16,Glengoyne 25,Balvenie 17 Doublewood,Bunnahabhain 12,Glenfarclas 40,Glenfiddich 18,Kavalan Solist Sherry,Macallan 18 Sherry,Tomatin 12,Aberlour A'bunadh batch #47,Bunnahabhain 18,Macallan 12 Double Cask,Glenlivet 18,Benrinnes 23,Macallan Rare Cask,Aberlour 18,Macallan Edition No. 2,Macallan Select Oak,Aberlour A'bunadh batch #46,Highland Park Dark Origins,Glenfarclas 21,Benromach 10,Tobermory 15,Michel Couvreur 12 Overaged Malt Whiskey,Macallan 15 Fine Oak,Bruichladdich Black Art 2.2,Balvenie Tun 1401 Batch #3,0.566,0.5578,0.5449,0.5433,0.5425,0.5388,0.5361,0.5252,0.5146,0.5078,0.5019,0.5,0.4667,0.4667,0.4653,0.4645,0.4566,0.4545,0.4524,0.4514,0.4389,0.4311,0.4309,0.4287,0.4282,0.4275,0.427,0.4253,0.4206,0.4183,0.4164,0.4131,0.4128,0.4065,0.3999,0.3962,0.3933,0.3907,0.3889,0.3832,0.3725,0.3724,0.3696,0.3639,0.3634,0.3623,0.3597,0.3522,0.3503,0.3485
Colonel E.H. Taylor Single Barrel,Colonel E.H. Taylor Small Batch,Colonel E.H. Taylor Barrel Proof,Elijah Craig Barrel Proof,Four Roses Single Barrel,Stagg Jr.,Four Roses Small Batch,Eagle Rare 10,Elmer T. Lee,Blanton's Original Single Barrel,Buffalo Trace,Colonel E.H. Taylor Cured Oak,Blanton's Straight from the Barrel,Henry McKenna 10 Single Barrel,Orphan Barrel Barterhouse 20,Wild Turkey Rare Breed,Elijah Craig 12,Noah's Mill,Old Grand Dad 114,Bulleit Bourbon,Four Roses Yellow Label,Wild Turkey 101,Russell's Reserve Single Barrel Bourbon,High West Bourye,1792 Full Proof,Michter's 10 Bourbon,Bulleit Bourbon 10,Michter's 10 Rye,Woodford Reserve Distiller's Select,Four Roses Single Barrel Private Selection OBSQ,Four Roses Single Barrel Private Selection OBSF,Booker's Bourbon,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Willett Family Estate Rye 4y,W.L. Weller 12,Stagg Jr. Batch #9,Old Grand Dad 100 Bottled in Bond,1792 Small Batch,Rock Hill Farms Single Barrel Bourbon,Rebel Yell 10 Single Barrel,Evan Williams Single Barrel 2003,Four Roses Single Barrel Private Selection OBSV,Rittenhouse Rye 100,WhistlePig 10 Straight Rye,George T. Stagg 2013,Old Forester 1920,Pikesville Rye,Black Maple Hill,Bulleit Rye,Four Roses Single Barrel Private Selection OESK,1792 Ridgemont Reserve,0.5825,0.5768,0.4703,0.4229,0.4213,0.3957,0.3925,0.3867,0.3823,0.3767,0.3765,0.369,0.3657,0.3607,0.3532,0.3472,0.345,0.3355,0.3335,0.3304,0.3247,0.3219,0.3102,0.3088,0.2968,0.2932,0.2928,0.2918,0.2887,0.2865,0.28,0.2726,0.2698,0.2685,0.2665,0.2645,0.2582,0.2453,0.2439,0.242,0.2394,0.2383,0.2376,0.2338,0.2321,0.2319,0.2314,0.23,0.2273,0.2272
Macallan 15 Fine Oak,Balvenie 12 Doublewood,Macallan 12 Sherry,Aberlour 12 Double Cask Matured,Macallan Sherry Cask Strength,Aberlour 12 Non Chill Filtered,Glenfarclas 12,Glenfarclas 105 Cask Strength,Glenmorangie Lasanta,Glenfarclas 17,GlenDronach 12 Original,GlenDronach 15 Revival,Aberlour 16,Aberlour 10,Tomatin 12,Glenfiddich 15,BenRiach 12 Sherry Matured,Aberlour A'bunadh batch #47,Balvenie 17 Doublewood,Auchentoshan Three Wood,Bruichladdich Black Art 2.2,Aberlour A'bunadh batch #45,Kavalan Solist Sherry,Macallan 18 Sherry,Glenlivet 18,Balvenie 15 Single Barrel Sherry Cask,Bunnahabhain 12,Glengoyne 21,Macallan 12 Double Cask,Glenfarclas 25,Benrinnes 23,Macallan Edition No. 2,Macallan 10 Fine Oak,Glenfarclas 15,Aberlour 18,Balvenie Tun 1401 Batch #3,Glenfiddich 18,GlenDronach 21 Parliament,Tobermory 15,Bunnahabhain 18,Dalmore 12,Bruichladdich Black Art 3.1,Aberlour A'bunadh batch #39,Benromach 10,Glenfarclas 10,Amrut Intermediate Sherry,Springbank 12 Cask Strength,Glenfarclas 40,Tamdhu 8 Signatory Cask Strength,Dalmore 15,Glenlivet 16 Nadurra,0.5781,0.5462,0.5409,0.5148,0.5128,0.5113,0.5049,0.5027,0.5022,0.4972,0.4835,0.4671,0.4666,0.4549,0.4509,0.4421,0.44,0.433,0.4273,0.4168,0.416,0.4127,0.4109,0.4067,0.4057,0.4044,0.4033,0.4019,0.3942,0.3886,0.3873,0.3867,0.3859,0.3851,0.385,0.3848,0.3769,0.3726,0.3704,0.3694,0.3686,0.3666,0.3663,0.3624,0.358,0.3566,0.3563,0.3531,0.3522,0.3511
Balvenie 12 Single Barrel First Fill,Glenlivet 16 Nadurra,Balvenie 15 Single Barrel,Glenmorangie 10 Original,Glenlivet 12,Glenmorangie Astar,Dalwhinnie 15,Glenfiddich 12,Arran 10,AnCnoc 12,Clynelish 14,Tobermory 10,Cragganmore 12,Macallan 10 Fine Oak,Oban 14,Deanston 12,Auchentoshan Valinch,Monkey Shoulder,Arran 14,Glenlivet 18,Balvenie 12 Doublewood,Glenfiddich 18,Bruichladdich The Laddie Ten,Balvenie 17 Doublewood,Glenlivet 15 French Oak Reserve,Amrut Fusion,Glenfiddich 15,Springbank 10,Highland Park 12,Speyburn 10,Glenkinchie 12,BenRiach 12,Old Pulteney 12,Glenlivet 21 Archive,Johnnie Walker Green Label,Craigellachie 13,Benromach 10,Glen Garioch 12,Glenmorangie Ealanta,Aberfeldy 12,Glenfarclas 12,Balcones Texas Single Malt,Bunnahabhain 12,Glenmorangie Signet,Deanston Virgin Oak,Macallan 15 Fine Oak,Compass Box Spice Tree,Glengoyne 10,Glenfiddich 15 Distillery Edition,Auchentoshan 12,Glenfarclas 17,0.4665,0.4539,0.4362,0.4285,0.3785,0.3773,0.3763,0.3754,0.3668,0.364,0.3638,0.3591,0.3465,0.3396,0.3394,0.3372,0.3367,0.3356,0.3346,0.3313,0.3308,0.3242,0.3221,0.3214,0.309,0.3084,0.3072,0.3041,0.3039,0.3034,0.2993,0.2985,0.2846,0.2823,0.281,0.281,0.28,0.279,0.2782,0.2761,0.2753,0.2751,0.2728,0.2722,0.2718,0.2708,0.2701,0.2694,0.268,0.2609
Highland Park 25,Highland Park 18,Highland Park Dark Origins,Highland Park 12,Bunnahabhain 12,Benromach 10,Highland Park 15,Springbank 15,Ardbeg Uigeadail,Bowmore 15 Darkest,Springbank 12 Cask Strength Batch 7,Highland Park 15 Loki,Oban 14,Lagavulin 16,Bowmore 15 Laimrig,Springbank 10,Amrut Fusion,Glenfarclas 105 Cask Strength,Macallan 12 Sherry,Laphroaig Triplewood,Bunnahabhain 18,Talisker 10,Glenfarclas 12,GlenDronach 15 Revival,Balvenie 12 Doublewood,Clynelish 14,Talisker 18,Aberlour 12 Non Chill Filtered,Glenfarclas 25,GlenDronach 12 Original,Kilchoman Sherry Cask Release,Caol Ila 12,Jura Superstition,Benromach 10 100 Proof,Aberlour 12 Double Cask Matured,Glenfarclas 17,Macallan Sherry Cask Strength,Laphroaig PX Cask,Ardbeg 10,Ardbeg Day,Benrinnes 23,Kilchoman Sanaig,Springbank 12 Cask Strength,Lagavulin 12,Auchentoshan Three Wood,Bruichladdich Black Art 3.1,Laphroaig Quarter Cask,Ardbeg Ardbog,Bruichladdich Black Art 2.2,Bunnahabhain Toiteach,Laphroaig 18,0.7,0.6825,0.6361,0.5725,0.5695,0.542,0.5395,0.5358,0.5071,0.4936,0.4869,0.4863,0.4857,0.4851,0.4809,0.4687,0.4672,0.4591,0.458,0.4567,0.4503,0.4473,0.4457,0.4436,0.4415,0.4367,0.4346,0.4305,0.4303,0.4299,0.4293,0.4286,0.4259,0.4254,0.4247,0.4209,0.4194,0.4192,0.4185,0.4154,0.4139,0.412,0.4061,0.4032,0.4024,0.4015,0.3994,0.3994,0.3992,0.3988
Compass Box Great King St. Artist's Blend,Compass Box Great King St. Glasgow Blend,Compass Box Spice Tree,Monkey Shoulder,Dewar's 12,Sheep Dip,Compass Box Hedonism,Glenmorangie 10 Original,Compass Box Oak Cross,Glenlivet 12,Chivas Regal 12,Compass Box The Lost Blend,AnCnoc 12,Johnnie Walker Green Label,Johnnie Walker Gold Label,Compass Box Asyla,Dalwhinnie 15,Glenlivet 16 Nadurra,Johnnie Walker Black Label,Black Grouse,Arran 10,Glenfiddich 12,Glenkinchie 12,Té Bheag,Famous Grouse,Dimple Pinch 15,Compass Box Enlightenment,Macallan 10 Fine Oak,Cragganmore 12,Aberfeldy 12,Black Bottle,Speyburn 10,Oban 14,Deanston 12,Mackinlay's Shackleton Rare Old Highland Malt Whisky,Pig's Nose,Deanston Virgin Oak,Clynelish 14,Johnnie Walker Red Label,Tobermory 10,Old Pulteney 12,Balvenie 15 Single Barrel,Jameson,Glenmorangie Astar,Johnnie Walker Blue Label,Dewar's White Label,Cardhu 12,Cutty Sark,Balvenie 12 Single Barrel First Fill,Bruichladdich The Laddie Ten,Glenlivet 18,0.4991,0.4215,0.4093,0.4078,0.4059,0.399,0.3972,0.3932,0.3858,0.3831,0.3826,0.3814,0.3795,0.3792,0.3611,0.3592,0.3579,0.3572,0.3554,0.3514,0.3308,0.3298,0.328,0.3277,0.3223,0.3209,0.3192,0.3096,0.2954,0.2946,0.2919,0.2891,0.2887,0.2883,0.2867,0.2852,0.2844,0.2792,0.2759,0.2756,0.2723,0.269,0.2644,0.2601,0.2589,0.2571,0.2567,0.2565,0.2563,0.256
Jura Superstition,Lagavulin 16,Highland Park 12,Ardbeg Uigeadail,Ardbeg 10,Laphroaig 18,Laphroaig Quarter Cask,Ardbeg Corryvreckan,Laphroaig 10,Benromach 10,Caol Ila 12,Springbank 10,Laphroaig Triplewood,Ardmore Traditional Cask Peated,Kilchoman Machir Bay,Ledaig 10,Talisker 10,Lagavulin 12,Bowmore 15 Darkest,Ardbeg Galileo,Springbank 15,Bowmore 12,Laphroaig 10 Cask Strength,Bruichladdich Port Charlotte Scottish Barley,Longrow Peated,Highland Park 18,Ardbeg Ardbog,BenRiach 10 Curiositas,Bruichladdich Octomore 6.1,Bunnahabhain 12,Compass Box Peat Monster,Finlaggan Old Reserve,Bunnahabhain Toiteach,Lagavulin 8,Talisker 57° North,Jura Prophecy,Balvenie 17 Peated Cask,Bowmore 18,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Johnnie Walker Black Label,Bruichladdich The Laddie Ten,Kilchoman Loch Gorm,Bruichladdich Port Charlotte 10,Johnnie Walker Green Label,Amrut Fusion,Highland Park 15 Loki,Kilchoman Sherry Cask Release,Laphroaig Cairdeas 2015,Laphroaig PX Cask,Kilchoman Sanaig,Laphroaig Cairdeas 2014 Amontillado,0.7438,0.7327,0.7211,0.7103,0.6987,0.6912,0.6787,0.6763,0.6756,0.6722,0.668,0.6678,0.667,0.6649,0.6617,0.6617,0.6425,0.6369,0.6339,0.632,0.6318,0.6317,0.6272,0.6247,0.6171,0.6155,0.6146,0.6062,0.6031,0.5987,0.5952,0.5948,0.5927,0.5917,0.5915,0.582,0.5817,0.572,0.5692,0.5683,0.5618,0.5606,0.5604,0.5555,0.5555,0.5523,0.5514,0.551,0.5468,0.5402
